"id";"latitude";"longitude";"PM10";"PM25";"NO2";"CO";"CO2";"timestamp";"date";"hour";"minute";"deviceID"
"39652";"48.7308";"2.28894";"28.77";"7";"10";"10";"10";"20200706071113";"2020-07-06";"9";"11";"PBK002"
"39653";"48.7311";"2.29057";"86.99";"0";"10";"10";"10";"20200706071143";"2020-07-06";"9";"11";"PBK004"
"39654";"48.731";"2.29056";"10.28";"2.81";"10";"10";"10";"20200706071148";"2020-07-06";"9";"11";"PBK002"
"39655";"48.7316";"2.29173";"122.23";"55.99";"10";"10";"10";"20200706071217";"2020-07-06";"9";"12";"PBK004"
"39656";"48.7319";"2.29204";"20.87";"11.47";"10";"10";"10";"20200706071222";"2020-07-06";"9";"12";"PBK002"
"39657";"48.7329";"2.29401";"416.06";"3.13";"10";"10";"10";"20200706071252";"2020-07-06";"9";"12";"PBK004"
"39658";"48.7328";"2.29449";"128.04";"12.94";"10";"10";"10";"20200706071257";"2020-07-06";"9";"12";"PBK002"
"39659";"48.7328";"2.29667";"92.84";"4.8";"10";"10";"10";"20200706071327";"2020-07-06";"9";"13";"PBK004"
"39660";"48.733";"2.29653";"46.34";"13.76";"10";"10";"10";"20200706071332";"2020-07-06";"9";"13";"PBK002"
"39661";"48.7346";"2.29574";"247.21";"5.58";"10";"10";"10";"20200706071402";"2020-07-06";"9";"14";"PBK004"
"39662";"48.7351";"2.29532";"94.78";"11.94";"10";"10";"10";"20200706071412";"2020-07-06";"9";"14";"PBK002"
"39663";"48.7362";"2.29466";"70.56";"12.53";"10";"10";"10";"20200706071437";"2020-07-06";"9";"14";"PBK004"
"39664";"48.7367";"2.29437";"9.56";"3.84";"10";"10";"10";"20200706071447";"2020-07-06";"9";"14";"PBK002"
"39665";"48.737";"2.29419";"29.57";"8.86";"10";"10";"10";"20200706071512";"2020-07-06";"9";"15";"PBK004"
"39666";"48.7369";"2.29349";"12.36";"10.74";"10";"10";"10";"20200706071522";"2020-07-06";"9";"15";"PBK002"
